byline,headline,pub_date
Reuters,"U.S. Declares Coronavirus Health Emergency, Bars Foreign Nationals Who Visited China",2020-02-01T20:22:12+0000
Reuters,Swedish Health Authority Says Woman Is Confirmed to Have Coronavirus,2020-02-01T20:22:10+0000
Reuters,December Bump in Oil Prices Not Enough to Salvage Energy Earnings,2020-02-01T20:22:08+0000
The Associated Press,Tony Stewart Seizes Spotlight on Night of Celebrating Smoke,2020-02-01T20:21:31+0000
The Associated Press,Man Convicted of Illegally Owning Tiger Cub Seen on YouTube,2020-02-01T20:21:30+0000
,Elizabeth Warren focuses on unity.,2020-02-01T20:16:47+0000
Reuters,Chevron Asks Staff to Postpone All Non-Essential Travel to China,2020-02-01T20:15:59+0000
Reuters,Central American Countries Limit Entry From China to Fight Coronavirus,2020-02-01T20:13:11+0000
Reuters,Zuckerberg Pledges Facebook Users Privacy Upgrades After $550 Million Facial Recognition Settlement,2020-02-01T20:13:08+0000
The Associated Press,Emails Show the Fallout From Trump's Claims About Dorian,2020-02-01T20:12:35+0000
Reuters,"Visa Sees Muted Revenue Growth in 2020, Shares Fall 3%",2020-02-01T20:09:57+0000
,‘It Would Have Been Nicer if Bernie Was Here’,2020-02-01T20:08:08+0000
Reuters,"OPEC Curbs, Supply Risks to Buoy Oil Prices in 2020: Reuters Poll",2020-02-01T20:07:39+0000
,Joe Biden just revealed about how much he raised in January.,2020-02-01T20:07:10+0000
The Associated Press,"Edwards Scores 29 Points as Georgia Tops Texas A&M, 63-48",2020-02-01T20:06:34+0000
Reuters,Walmart Temporarily Limits 'Non-Business Critical Travel' to China,2020-02-01T20:04:22+0000
,Kobe and Gianna Bryant’s Bond Was Made of Love and Basketball,2020-02-01T20:04:13+0000
The Associated Press,Nigeria to Address Issues That Led to Visa Restrictions,2020-02-01T20:03:28+0000
Reuters,Thailand to Evacuate Nationals From China Virus Centre 'in Matter of Days': Government,2020-02-01T18:28:47+0000
Reuters,Democrats Announce New Debate Rules Likely to Allow Bloomberg to Join,2020-02-01T18:28:45+0000
Reuters,"Now EU Must Deliver, Commission Chief Says on Brexit Day",2020-02-01T18:28:43+0000
Reuters,Myanmar Turns Back China Southern Flight Over Coronavirus Fears: Government Spokesman,2020-02-01T18:28:36+0000
,Biden’s surrogates take the stump.,2020-02-01T18:26:14+0000
Reuters,Chinese Tourists Desert Thai Resort as Coronavirus Spreads,2020-02-01T18:25:48+0000
Reuters,Chinese Tourists Desert Thai Resort as Coronavirus Spreads,2020-02-01T18:25:47+0000
Reuters,U.S. State Department Organising More Flights for Americans to Return From Wuhan-Official,2020-02-01T18:25:39+0000
Reuters,Democrat Warren Sends Star Stand-In to Iowa: Her Dog Bailey,2020-02-01T18:25:37+0000
Reuters,U.S. Senator Romney to Vote for Trump Impeachment Trial Witnesses,2020-02-01T18:25:36+0000
Reuters,French Couple Living Off-Grid Wants to Leave a Trace,2020-02-01T18:25:34+0000
The Associated Press,Week 2 at Weinstein Trial: Four Accusers and a Chihuahua,2020-02-01T18:24:29+0000
Reuters,Factbox: Latest on the Coronavirus Spreading in China and Beyond,2020-02-01T18:22:32+0000
Reuters,U.S. Envoy Warns Palestinians Against Raising Opposition to U.S. Peace Plan at U.N. ,2020-02-01T18:22:30+0000
Reuters,"Russia Reports First Coronavirus Cases, Restricts China Air Travel",2020-02-01T18:22:27+0000
,It’s not just Iowans scoping out candidates.,2020-02-01T18:22:12+0000
Reuters,Pompeo Visits Belarus as Minsk's Ties With Moscow Fray,2020-02-01T18:16:05+0000
The Associated Press,Democrats Focus on Unity as Tensions From 2016 Linger,2020-02-01T18:15:46+0000
,Klobuchar discusses 2002 case that put black teenager behind bars for life.,2020-02-01T18:14:13+0000
Reuters,Delhi Shooter Was Quiet Teenager Who Pushed Hindu Cause Online,2020-02-01T18:13:24+0000
Reuters,Mongolia Closes Border to China Until March 2 to Stop Virus,2020-02-01T18:13:20+0000
The Associated Press,Stoneman Douglas Players Take Part in Super Bowl Rehearsal,2020-02-01T18:12:29+0000
Reuters,Uzbekistan to Suspend Regular Flights To and From China,2020-02-01T18:10:41+0000
Reuters,Factbox: 11 Democrats Still in U.S. Presidential Race Days Before Iowa Caucuses,2020-02-01T18:10:36+0000
Reuters,Surge in Virus Infections Stokes Fear in Cities Flanking China's Wuhan,2020-02-01T18:10:18+0000
Reuters,Singapore Bans China Travellers to Keep Out Coronavirus,2020-02-01T18:10:17+0000
Reuters,Moscow Court Case Challenges City's Facial Recognition Use After Launch,2020-02-01T18:07:51+0000
,Heckler interrupts Biden: ‘Don’t settle for Joe.’,2020-02-01T18:06:38+0000
Reuters,'A Good Firefighting Day': Crews Hold Blazes Back From Australia's Capital,2020-02-01T18:04:19+0000
,"Trump Threw Weighty Refugee Decisions to Local Government, With Painful Results",2020-02-01T18:03:14+0000
,Buttigieg strategist says strong Iowa finish would give others ‘permission’ to back him.,2020-02-01T18:02:59+0000
Reuters,"For One Chinese Family in New York, It Was Simply Time to Go Home, Virus or Not",2020-02-01T18:01:48+0000
Reuters,Alleged Leader of Iraqi Al Qaeda Group Arrested in Arizona,2020-02-01T18:01:47+0000
Reuters,The Long Road to Trump's Impeachment and Trial,2020-02-01T17:58:26+0000
Reuters,"Yemen's Houthis Say Recent Attacks on Aramco, Airports in Response to Air Strikes",2020-02-01T17:58:11+0000
The Associated Press,Chicago's Former Top Cop Consulting Local Cannabis Company,2020-02-01T17:57:28+0000
Reuters,The Long Road to Trump's Impeachment and Trial,2020-02-01T17:55:25+0000
Reuters,"Talks Between Thailand, Insurgents to Resume in March-Thai Official",2020-02-01T17:55:20+0000
,Western Iowa is blanketed in snow.,2020-02-01T17:52:05+0000
,A new picture of the Democratic money race.,2020-02-01T17:49:20+0000
Reuters,"Cold and Humiliated, Syrians Displaced Yet Again by New Assad Campaign",2020-02-01T17:46:31+0000
The Associated Press,Analysis: GOP Sends Message That Trump’s Actions Were OK,2020-02-01T17:46:03+0000
The Associated Press,Quarantines Await Europeans Flown Home Amid Virus Outbreak,2020-02-01T17:45:58+0000
Reuters,Expats Across China Flee as Virus Fears Mount,2020-02-01T17:44:05+0000
Reuters,U.S. Coronavirus Task Force to Hold Briefing on Friday,2020-02-01T17:43:51+0000
Reuters,Where Democratic Presidential Candidates Stand on 'Medicare for All',2020-02-01T17:43:49+0000
The Associated Press,"In Battleground Wisconsin, GOP Opens Front in Milwaukee",2020-02-01T17:42:32+0000
The Associated Press,Yemen Sources: US Drone Destroyed Building Housing Al-Qaida,2020-02-01T17:42:30+0000
,Feeling the Bern while protecting your ears.,2020-02-01T17:41:28+0000
Reuters,"Australia's Capital Braces as Hot, Windy Conditions Fuel Bushfires",2020-02-01T17:40:57+0000
Reuters,China Virus Death Toll Rises To at Least 212 as WHO Declares Global Emergency,2020-02-01T17:40:34+0000
,Klobuchar claims path to the White House is through the Midwest.,2020-02-01T17:38:50+0000
Reuters,U.S. Senate May Not Decide Trump Impeachment Verdict Until Next Week-CNN,2020-02-01T17:37:49+0000
Reuters,Oman Advises Against Travel to China Due to Coronavirus Outbreak,2020-02-01T17:37:39+0000
,The youth climate group Zero Hour endorses Bernie Sanders.,2020-02-01T17:35:03+0000
Reuters,Factbox: Latest on the Coronavirus Spreading in China and Beyond,2020-02-01T17:34:58+0000
Reuters,"Kuwait Advises Against Travelling to China, Calls Citizens There to Leave-State News Agency",2020-02-01T17:34:53+0000
Reuters,Trump Eases Restrictions on Land Mine Use by U.S. Military,2020-02-01T17:34:46+0000
Reuters,Swedish Health Authority Says Woman Is Confirmed to Have Coronavirus,2020-02-01T17:34:44+0000
,WeWork Names Veteran Real Estate Executive as New Chief,2020-02-01T17:34:43+0000
Reuters,"Trump's Mideast Plan Is 'Injustice of the Century', U.S.-Allied Tunisian President Says",2020-02-01T17:34:29+0000
The Associated Press,Billionaire Bloomberg Proposes Tax Plan Aimed at Wealthy,2020-02-01T17:33:29+0000
,Buttigieg warns against repeat of 2016 fights.,2020-02-01T17:32:21+0000
Reuters,"China's Total Coronavirus Deaths Hit 259 by End of January 31, Up 46-State Media",2020-02-01T17:31:15+0000
Reuters,"China's Total Coronavirus Deaths Hit 259 by End of January 31, Up 46-State Media",2020-02-01T17:31:14+0000
,"As New Coronavirus Spread, China’s Old Habits Delayed Fight",2020-02-01T17:30:46+0000
,Bloomberg Proposes $5 Trillion in Taxes on the Rich and Corporations,2020-02-01T17:30:28+0000
Reuters,Paraguay Restricts Travellers From China Amid Virus Outbreak,2020-02-01T17:28:20+0000
Reuters,U.S. Declares Coronavirus a Public Health Emergency,2020-02-01T17:28:14+0000
Reuters,Iowa's Fast-Growing Latino Community Gets New Attention From Democrats,2020-02-01T17:28:12+0000
Reuters,Chinese City of Wuhan Says It Should Have Acted Sooner to Contain Virus,2020-02-01T17:28:09+0000
Reuters,Italy Declares Coronavirus Emergency After First Two Cases Confirmed,2020-02-01T17:28:08+0000
,Rashida Tlaib apologizes for booing Clinton at Sanders rally.,2020-02-01T17:25:27+0000
Reuters,France's Macron Warns Britain It Can't Be 'In and Out' of the EU,2020-02-01T17:22:14+0000
Reuters,"Number of Coronavirus Cases in China Rises Over 9,800 - Ambassador",2020-02-01T17:22:10+0000
Reuters,Pompeo Pledges Support for Ukraine as Impeachment Trial Rumbles,2020-02-01T17:22:08+0000
,"Frank Press, White House Science Adviser, Is Dead at 95",2020-02-01T17:20:45+0000
,Klobuchar urges Iowans to look past the caucuses.,2020-02-01T17:20:35+0000
Reuters,"EU Seeks to Put Brave Face on Brexit Day, Warns UK of Costs of Divergence",2020-02-01T17:19:32+0000
Reuters,"Pope Francis Promises to Help Argentina in Debt Crisis, President Says",2020-02-01T17:19:31+0000
Reuters,Doctors Acquitted at End of Belgium's First Euthanasia Trial,2020-02-01T17:19:26+0000
,The expectations game roars back to life.,2020-02-01T17:17:37+0000
,"At Chelsea, Lampard’s Experiment May Soon Become a Test",2020-02-01T17:16:33+0000
Reuters,"For One Chinese Family in New York, It Was Simply Time to Go Home, Virus or Not",2020-02-01T17:16:20+0000
Reuters,Britain Reports First Two Cases of New Coronavirus,2020-02-01T17:16:11+0000
The Associated Press,Descendants of Extinct Tortoise Species Found in Galapagos,2020-02-01T17:16:00+0000
Reuters,Factbox: Latest on the Coronavirus Spreading in China and Beyond,2020-02-01T17:13:46+0000
Reuters,Joy and Sadness: How the World Is Reacting on Brexit Day,2020-02-01T17:13:43+0000
Reuters,Indonesia Says China Clears Planes to Evacuate Indonesian Citizens From Hubei,2020-02-01T17:13:41+0000
,Elizabeth Warren misses her rally but makes it to the afterparty.,2020-02-01T17:12:35+0000
Reuters,Militants Kill Dozens in East Congo as Attacks on Civilians Intensify,2020-02-01T17:10:58+0000
Reuters,North Korea's Kim Offers Condolences to China's Xi About Virus Outbreak: KCNA,2020-02-01T17:10:57+0000
Reuters,China Faces More Border Curbs as Virus Death Toll Rises,2020-02-01T17:10:55+0000
Reuters,Indonesian Evacuees From China's Hubei to Be Quarantined in Natuna Military Base,2020-02-01T17:10:52+0000
Reuters,Gilead Working With China to Test Ebola Drug as New Coronavirus Treatment,2020-02-01T17:10:29+0000
The Associated Press,"With a 22-Point Lead, Liverpool Setting New Standards in EPL",2020-02-01T17:09:34+0000
Reuters,Factbox: Airlines Suspend China Flights Because of Coronavirus Outbreak,2020-02-01T17:07:44+0000
,Pete Buttigieg tries out being human.,2020-02-01T17:07:24+0000
Reuters,Tanzania Says Has Not Been Officially Notified About U.S. Travel Ban,2020-02-01T17:04:13+0000
Reuters,Former Belgian-Nicaraguan Political Prisoner Calls for Probe Into Ortega Government,2020-02-01T17:04:11+0000
Reuters,Airbus to Pay Around 1 Billion Euros in UK Slice of Global Bribery Settlement,2020-02-01T16:01:43+0000
,Fact-Checking Bernie Sanders Before the Iowa Caucuses,2020-02-01T16:00:55+0000
,My Culture Is Not Super Bowl Entertainment,2020-02-01T16:00:08+0000
Reuters,Airbus to Be Under Compliance Control for Three Years-French Court,2020-02-01T15:58:12+0000
,‘Angels’ in Hell: The Culture of Misogyny Inside Victoria’s Secret,2020-02-01T15:58:02+0000
The Associated Press,California's Primary Vote Count Could Take Longer Than Ever,2020-02-01T15:57:29+0000
Reuters,UK Government Wants Canada-Style Free Trade Deal With EU-Spokesman for PM Johnson,2020-02-01T15:55:09+0000
Reuters,Qantas Suspends China Flights From Feb. 9 Due to Coronavirus,2020-02-01T15:52:12+0000
Reuters,Uber Drivers Cram in Fares in Countdown to App's Colombia Departure,2020-02-01T15:52:10+0000
Reuters,Aston Martin's Lifeline Buys Carmaker Time as SUV Hits Road,2020-02-01T15:49:18+0000
